Pardavėjas,Produktas,Svoris,Kaina
Delona,"Prieskonių mišinys ""BRUSCHETTA"" su pomidorais 100g",100,2.20
Delona,"Prieskonių mišinys ""ČESNAKINIS"" 100g",100,1.50
Delona,"Prieskonių mišinys ""CHIMI-CHURI"" 100g",100,1.50
Delona,"Prieskonių mišinys ""CHMELI SUNELI"" su mėlynąja ožrage 50g",50,1.30
Delona,"Prieskonių mišinys ""CHMELI-SUNELI"" 100g",100,1.50
Delona,"Prieskonių mišinys ""DEKORA"" 100g",100,1.50
Delona,"Prieskonių mišinys ""DONER"" 100g",100,1.50
Delona,"Prieskonių mišinys ""GARAM MASALA"" 100g",100,2.00
Delona,"Prieskonių mišinys ""INDIJA"" 100g",100,1.50
Delona,"Prieskonių mišinys ""INDIŠKAS KARIS"" 100g",100,1.50
Delona,"Prieskonių mišinys ""LIEKNĖJIMAS"" 100g",100,2.30
Delona,"Prieskonių mišinys ""MADRIDAS"" 100g",100,1.50
Delona,"Prieskonių mišinys ""MOZZARELLA TOMATE"" 100g",100,2.50
Delona,"Prieskonių mišinys ""NASI GORENG"" 100g",100,2.30
Delona,"Prieskonių mišinys ""PERSILADAS"" 100g",100,1.50
Delona,"Prieskonių mišinys ""Šeimininkė"" 50 g",50,1.00
Delona,"Prieskonių mišinys ""SVEIKUOLIS"" 100g",100,1.60
Delona,"Prieskonių mišinys ""SVIESTELIS"" 100g",100,1.80
Delona,"Prieskonių mišinys ""Trijulė"" 100g",100,1.50
Delona,"Prieskonių mišinys ""TROPIKŲ SALA"" 50 g",50,1.50
Delona,"Prieskonių mišinys ""TZATZIKI"" 100g",100,1.50
Delona,"Prieskonių mišinys ""UGNINIS"" 80 g",80,1.40
Delona,"Prieskonių mišinys ""UMAMI CRUNCH""  50g",50,1.70
Delona,"Prieskonių mišinys ""ZATAR"" 50g",50,0.90
Delona,Prieskonių mišinys avienai 70g,70,1.20
Delona,Prieskonių mišinys BISMARKO SILKEI 50g,50,1.00
Delona,Prieskonių mišinys GULIAŠUI 50g,50,1.30
Delona,Prieskonių mišinys kalakutienai 100g,100,1.70
Delona,Prieskonių mišinys kavai 40g,40,1.00
Delona,"Prieskonių mišinys kepiniams, meduoliams 100g",100,2.00
Delona,Prieskonių mišinys mėsai marinuoti 50 g,50,0.80
Delona,"Prieskonių mišinys picai ""KLASIKA"" 50g",50,0.90
Delona,Prieskonių mišinys plovui (be druskos) 100g,100,1.50
Delona,"Prieskonių mišinys salotoms ""1-2-3"" 50g",50,0.90
Delona,Prieskonių mišinys su alyvuogėmis 100g,100,2.50
Delona,Prieskonių mišinys su baravykais 80g,80,2.30
Delona,Prieskonių mišinys su kanapėmis 50g,50,1.10
Delona,Prieskonių mišinys su voveraitėmis 100g,100,2.90
Delona,"Prieskonių mišinys žąsienai, antienai 50g",50,1.00
Delona,Prieskonių mišinys žuviai su žagreniu 100g,100,2.00
Delona,Provanso prieskonių mišinys 50g,50,1.00
Delona,Raudonėliai (lot. Origanum) 30g,30,0.43
Delona,Raugerškiai (barbarisai) 80 g,80,3.60
Delona,Rausvieji (rožiniai) pipirai 50g,50,1.95
Delona,Rojiniai imbierpipiriai 20g,20,2.40
Delona,Rozmarinai 30g,30,0.46
Delona,Rūkyta saldi raudona paprika 100g,100,1.50
Delona,Rūkytos aitriosios paprikos (čili) 100g,100,2.00
Delona,Rytietiški žuvų prieskoniai 100g,100,1.50
Delona,"Šafranas 0,125g","0,125",1.70
Delona,Šafranas 1g,1,5.90
Delona,Saldžiosios raudonosios paprikos (dribsniai) 100 g,100,1.60
Delona,Saldžiosios raudonosios paprikos (maltos) 100g,100,0.90
Delona,Šašlykų prieskoniai 100g,100,1.50
Delona,Senegalo pipirai 20 g,20,1.60
Delona,Sičuano pipirai 50g,50,2.45
Delona,Špinatų lapeliai  40 g,40,1.00
Delona,Sriubos prieskoniai 100g,100,1.20
Delona,Svanų druska 100g,100,1.50
Delona,Svogūnų milteliai 50g,50,0.70
Delona,Troškinių prieskoniai 100g,100,1.80
Delona,Valgomoji akmens druska 1 kg,k,1.50
Delona,Vanilės ankštis  2 vnt.,vnt.,5.90
Delona,Vištienos skonio sultinys 100g,100,1.20
Delona,Žagrenis (sumac) 100g,100,2.90
Delona,Žalieji pipirai (grūdeliais) 50g,50,2.00
Delona,Žolelių mišinys be druskos 50g,50,0.95
Delona,Žvaigždiniai anyžiai 50g,50,2.95
Delona,Žvaigždinis anyžius (maltas) 40g,40,2.50
Delona,Žvėrienos prieskoniai 100g,100,1.50
Delona,Pipirų mišinys steikui 100 g,100,2.20
Delona,Anyžių sėklos 100g,100,1.70
Delona,Juodgrūdės (Kalindži) 100g,100,1.50
Delona,Krapų sėklos 50 g,50,0.90
Delona,Linų sėmenys,sėmenys,Nuo0.90
Delona,Linų sėmenys (malti) 100g,100,0.70
Delona,Ožragės (grūdeliais) 100g,100,1.20
Delona,Ožragės (maltos) 100g,100,1.20
Delona,Pankoliai (malti) 100g,100,1.50
Delona,Pankolių sėklos 100g,100,1.50
Delona,Kanapių sėklos (lukštentos) 50g,50,1.20
Delona,Kanapių sėklos 100g,100,1.00
Delona,Kanapių sėklų baltymai 100 g,100,2.00
Delona,Juodųjų sezamų sėklos,sėklos,Nuo1.20
